시도,시군구,강도,살인,성범죄,절도,폭력,major_crime_type,절도_비율,폭력_비율,성범죄_비율,강도_비율,살인_비율,crime_count,risk_score,cluster,region_type,cctv_count,경찰서,파출소
부산,사하구,3,5,82,952,1216,"폭력, 절도, 성범죄",42.2,53.9,3.6,0.1,0.2,2258,19.3,0,범죄 집중 관리 지역,1037,1,6
부산,금정구,4,4,72,878,854,"절도, 폭력, 성범죄",48.5,47.1,4,0.2,0.2,1812,15.3,0,범죄 집중 관리 지역,1309,1,5
부산,연제구,4,6,86,833,1076,"폭력, 절도, 성범죄",41.5,53.7,4.3,0.2,0.3,2005,17.1,0,범죄 집중 관리 지역,1022,1,4
부산,수영구,1,2,97,795,1015,"폭력, 절도, 성범죄",41.6,53.1,5.1,0.1,0.1,1910,15.9,0,범죄 집중 관리 지역,1877,,4
부산,사상구,1,5,81,797,1072,"폭력, 절도, 성범죄",40.7,54.8,4.1,0.1,0.3,1956,16.6,0,범죄 집중 관리 지역,1230,1,6
부산,기장군,0,1,61,448,658,"폭력, 절도, 성범죄",38.4,56.3,5.2,0,0.1,1168,9.4,0,범죄 집중 관리 지역,2020,1,5
대구,중구,1,2,183,1188,994,"절도, 폭력, 성범죄",50.2,42,7.7,0,0.1,2368,20.3,0,범죄 집중 관리 지역,935,1,4
대구,동구,9,4,128,1244,1652,"폭력, 절도, 성범죄",41,54.4,4.2,0.3,0.1,3037,25.9,0,범죄 집중 관리 지역,1941,1,9
대구,서구,2,3,72,1025,974,"절도, 폭력, 성범죄",49.4,46.9,3.5,0.1,0.1,2076,16.3,0,범죄 집중 관리 지역,5249,1,5
대구,남구,0,0,74,682,767,"폭력, 절도, 성범죄",44.8,50.4,4.9,0,0,1523,12.8,0,범죄 집중 관리 지역,1014,1,5
대구,북구,2,4,98,1553,1571,"폭력, 절도, 성범죄",48.1,48.7,3,0.1,0.1,3228,27.5,0,범죄 집중 관리 지역,2217,2,8
대구,수성구,0,8,119,990,1417,"폭력, 절도, 성범죄",39.1,55.9,4.7,0,0.3,2534,21.1,0,범죄 집중 관리 지역,3017,1,7
대구,달서구,1,8,193,1965,2177,"폭력, 절도, 성범죄",45.2,50.1,4.4,0,0.2,4344,37,0,범죄 집중 관리 지역,3264,2,13
대구,달성군,0,4,69,912,783,"절도, 폭력, 성범죄",51.6,44.3,3.9,0,0.2,1768,14.8,0,범죄 집중 관리 지역,1670,1,11
대구,군위군,0,0,3,93,79,"절도, 폭력, 성범죄",53.1,45.1,1.7,0,0,175,5,1,생활 안전 지역,665,,4
인천,중구,4,3,116,791,936,"폭력, 절도, 성범죄",42.8,50.6,6.3,0.2,0.2,1850,15.7,0,범죄 집중 관리 지역,909,1,7
인천,동구,0,1,15,206,204,"절도, 폭력, 성범죄",48.4,47.9,3.5,0,0.2,426,5,1,생활 안전 지역,374,,3
인천,미추홀구,8,14,259,1444,2392,"폭력, 절도, 성범죄",35.1,58.1,6.3,0.2,0.3,4117,35,0,범죄 집중 관리 지역,3176,1,9
인천,연수구,2,7,120,1185,1363,"폭력, 절도, 성범죄",44.3,50.9,4.5,0.1,0.3,2677,22.6,0,범죄 집중 관리 지역,2122,1,6
인천,남동구,4,8,218,1242,2212,"폭력, 절도, 성범죄",33.7,60,5.9,0.1,0.2,3684,31.7,0,범죄 집중 관리 지역,1491,2,10
인천,부평구,8,7,298,2143,2701,"폭력, 절도, 성범죄",41.6,52.4,5.8,0.2,0.1,5157,44.7,0,범죄 집중 관리 지역,1513,2,11
인천,계양구,1,4,97,825,1154,"폭력, 절도, 성범죄",39.6,55.5,4.7,0,0.2,2081,17.6,0,범죄 집중 관리 지역,1472,1,5
인천,서구,6,8,237,1356,2121,"폭력, 절도, 성범죄",36.4,56.9,6.4,0.2,0.2,3728,31.9,0,범죄 집중 관리 지역,2059,1,9
인천,강화군,0,1,20,168,312,"폭력, 절도, 성범죄",33.5,62.3,4,0,0.2,501,5,1,생활 안전 지역,1073,1,13
인천,옹진군,0,0,10,15,65,"폭력, 절도, 성범죄",16.7,72.2,11.1,0,0,90,5,1,생활 안전 지역,130,,6
광주,동구,0,1,55,560,672,"폭력, 절도, 성범죄",43.5,52.2,4.3,0,0.1,1288,11,2,치안 인프라 보완 필요 지역,81,1,5
